brand,model,Battery,Back glass damage,Rear camera damage,Screen damage,Screen and back glass damage,Other damage
Apple,iPhone Air,199,269,275,549,699,1199
Apple,iPhone 17 Pro Max,199,269,419,645,799,1339
Apple,iPhone 17 Pro,199,269,419,549,699,1249
Apple,iPhone 17,169,269,275,549,699,1029
Apple,iPhone 17e,169,269,229,409,559,799
Apple,iPhone 16 Pro Max,199,269,419,645,799,1249
Apple,iPhone 16 Pro,199,269,419,549,699,1119
Apple,iPhone 16 Plus,169,269,275,549,699,1029
Apple,iPhone 16,169,269,275,465,619,949
Apple,iPhone 16e,169,269,229,409,559,799
Apple,iPhone 15 Pro Max,169,269,419,645,799,1199
Apple,iPhone 15 Pro,169,269,349,549,699,1119
Apple,iPhone 15 Plus,169,269,275,549,699,1029
Apple,iPhone 15,169,269,275,465,619,949
Apple,iPhone 14 Pro Max,169,899,349,645,1059,1199
Apple,iPhone 14 Pro,169,879,349,549,959,1119
Apple,iPhone 14 Plus,169,269,275,549,699,1029
Apple,iPhone 14,169,269,275,465,619,855
Apple,iPhone 13 Pro Max,149,879,309,549,1029,1029
Apple,iPhone 13 Pro,149,769,309,465,855,855
Apple,iPhone 13,149,579,275,465,705,705
Apple,iPhone 13 mini,149,499,275,385,569,569
Apple,iPhone 12 Pro Max,149,879,309,549,1029,1029
Apple,iPhone 12 Pro,149,769,309,465,855,855
Apple,iPhone 12,149,579,275,465,705,705
Apple,iPhone 12 mini,149,499,275,385,569,569
Apple,iPhone 11,149,,,329,,569
Apple,iPhone XR,149,,,329,,569
Apple,iPhone SE (3rd Gen),114.9,,,235,,509
Apple,iPhone SE (2nd Gen),114.9,,,235,,469
