state_code,state_name,council,suburb,postcode
VIC,Victoria,Bayside City Council,Beaumaris,3193
VIC,Victoria,Bayside City Council,Black Rock,3193
VIC,Victoria,Bayside City Council,Brighton,3186
VIC,Victoria,Bayside City Council,Brighton East,3187
VIC,Victoria,Bayside City Council,Cheltenham,3192
VIC,Victoria,Bayside City Council,Hampton,3188
VIC,Victoria,Bayside City Council,Hampton East,3188
VIC,Victoria,Bayside City Council,Highett,3190
VIC,Victoria,Bayside City Council,Sandringham,3191
VIC,Victoria,City of Monash,Ashwood,3147
VIC,Victoria,City of Monash,Burwood,3125
VIC,Victoria,City of Monash,Chadstone,3148
VIC,Victoria,City of Monash,Clarinda,3169
VIC,Victoria,City of Monash,Clayton,3168
VIC,Victoria,City of Monash,Glen Waverley,3150
VIC,Victoria,City of Monash,Hughesdale,3166
VIC,Victoria,City of Monash,Huntingdale,3166
VIC,Victoria,City of Monash,Mount Waverley,3149
VIC,Victoria,City of Monash,Mulgrave,3170
VIC,Victoria,City of Monash,Notting Hill,3168
VIC,Victoria,City of Monash,Oakleigh,3166
VIC,Victoria,City of Monash,Oakleigh East,3166
VIC,Victoria,City of Monash,Oakleigh South,3167
VIC,Victoria,City of Monash,Wheelers Hill,3150
