health_metric,n_state_year_pairs,n_predictors,intercept,r_squared,adjusted_r_squared,condition_number
age_standardised_rate_per_100000,40,27,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
crude_rate_per_100000,40,27,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
deaths,40,27,420.489734570756,0.9935374398450375,0.9789966794963719,877691315.9059019
median_age,40,27,81.2180072571306,0.9242425918570567,0.7537884235354343,877691315.9059019
pad_asr_per_100000,40,27,89.62502335703175,0.884627798225874,0.6250403442340906,877691315.9059019
pad_percent,40,27,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
potential_years_of_life_lost,40,27,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potentially_avoidable_deaths,40,27,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
premature_deaths,40,27,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths_asr_per_100000,40,27,177.89959564472153,0.8932890780847091,0.6531895037753046,877691315.9059019
premature_deaths_percent,40,27,34.638959090689085,0.9170147478733843,0.7302979305884991,877691315.9059019
pyll_rate_per_1000,40,27,33.083258108595615,0.8896902543287449,0.6414933265684211,877691315.9059019
